sep=,
media_type,stream_index,key_frame,pkt_pts,pkt_pts_time,pkt_dts,pkt_dts_time,best_effort_timestamp,best_effort_timestamp_time,pkt_duration,pkt_duration_time,pkt_pos,pkt_size,width,height,pix_fmt,sample_aspect_ratio,pict_type,coded_picture_number,display_picture_number,interlaced_frame,top_field_first,repeat_pict,color_range,color_space,color_primaries,color_transfer,chroma_location
video,0,0,34034,1.134467,34034,1.134467,34034,1.134467,1001,0.033367,60745,3822,640,360,yuv420p,N/A,P,31,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,35035,1.167833,35035,1.167833,35035,1.167833,1001,0.033367,70436,334,640,360,yuv420p,N/A,B,37,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,36036,1.201200,36036,1.201200,36036,1.201200,1001,0.033367,69957,479,640,360,yuv420p,N/A,B,36,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,37037,1.234567,37037,1.234567,37037,1.234567,1001,0.033367,70770,237,640,360,yuv420p,N/A,B,38,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,38038,1.267933,38038,1.267933,38038,1.267933,1001,0.033367,65584,4373,640,360,yuv420p,N/A,P,35,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,39039,1.301300,39039,1.301300,39039,1.301300,1001,0.033367,74945,323,640,360,yuv420p,N/A,B,41,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,40040,1.334667,40040,1.334667,40040,1.334667,1001,0.033367,74453,492,640,360,yuv420p,N/A,B,40,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,41041,1.368033,41041,1.368033,41041,1.368033,1001,0.033367,75268,245,640,360,yuv420p,N/A,B,42,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,42042,1.401400,42042,1.401400,42042,1.401400,1001,0.033367,71007,3446,640,360,yuv420p,N/A,P,39,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,43043,1.434767,43043,1.434767,43043,1.434767,1001,0.033367,80653,290,640,360,yuv420p,N/A,B,45,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,44044,1.468133,44044,1.468133,44044,1.468133,1001,0.033367,80125,528,640,360,yuv420p,N/A,B,44,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,45045,1.501500,45045,1.501500,45045,1.501500,1001,0.033367,80943,243,640,360,yuv420p,N/A,B,46,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,46046,1.534867,46046,1.534867,46046,1.534867,1001,0.033367,75513,4612,640,360,yuv420p,N/A,P,43,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,47047,1.568233,47047,1.568233,47047,1.568233,1001,0.033367,85988,366,640,360,yuv420p,N/A,B,49,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,48048,1.601600,48048,1.601600,48048,1.601600,1001,0.033367,85449,539,640,360,yuv420p,N/A,B,48,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,49049,1.634967,49049,1.634967,49049,1.634967,1001,0.033367,86354,322,640,360,yuv420p,N/A,B,50,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,50050,1.668333,50050,1.668333,50050,1.668333,1001,0.033367,81186,4263,640,360,yuv420p,N/A,P,47,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,51051,1.701700,51051,1.701700,51051,1.701700,1001,0.033367,91901,385,640,360,yuv420p,N/A,B,53,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,52052,1.735067,52052,1.735067,52052,1.735067,1001,0.033367,91248,653,640,360,yuv420p,N/A,B,52,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,53053,1.768433,53053,1.768433,53053,1.768433,1001,0.033367,92286,384,640,360,yuv420p,N/A,B,54,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,54054,1.801800,54054,1.801800,54054,1.801800,1001,0.033367,86676,4572,640,360,yuv420p,N/A,P,51,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,55055,1.835167,55055,1.835167,55055,1.835167,1001,0.033367,97009,402,640,360,yuv420p,N/A,B,57,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,56056,1.868533,56056,1.868533,56056,1.868533,1001,0.033367,96447,562,640,360,yuv420p,N/A,B,56,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,57057,1.901900,57057,1.901900,57057,1.901900,1001,0.033367,97411,330,640,360,yuv420p,N/A,B,58,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,58058,1.935267,58058,1.935267,58058,1.935267,1001,0.033367,92670,3777,640,360,yuv420p,N/A,P,55,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,59059,1.968633,59059,1.968633,59059,1.968633,1001,0.033367,101989,324,640,360,yuv420p,N/A,B,61,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,60060,2.002000,60060,2.002000,60060,2.002000,1001,0.033367,101484,505,640,360,yuv420p,N/A,B,60,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,61061,2.035367,61061,2.035367,61061,2.035367,1001,0.033367,102313,293,640,360,yuv420p,N/A,B,62,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,62062,2.068733,62062,2.068733,62062,2.068733,1001,0.033367,97741,3743,640,360,yuv420p,N/A,P,59,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,63063,2.102100,63063,2.102100,63063,2.102100,1001,0.033367,106845,240,640,360,yuv420p,N/A,B,65,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,64064,2.135467,64064,2.135467,64064,2.135467,1001,0.033367,106282,563,640,360,yuv420p,N/A,B,64,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,65065,2.168833,65065,2.168833,65065,2.168833,1001,0.033367,107085,302,640,360,yuv420p,N/A,B,66,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,66066,2.202200,66066,2.202200,66066,2.202200,1001,0.033367,102606,3676,640,360,yuv420p,N/A,P,63,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,67067,2.235567,67067,2.235567,67067,2.235567,1001,0.033367,112359,243,640,360,yuv420p,N/A,B,69,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,68068,2.268933,68068,2.268933,68068,2.268933,1001,0.033367,111741,618,640,360,yuv420p,N/A,B,68,0,0,0,0,unknown,unknown,unknown,unknown,left
